,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Congo (Brazzaville),NA,NA,NA,NA,NA,NA,0.16695,0.15367,0.14181,0.15367,0.16974,0.15108,0.14039,0.14288,0.14364,0.14284,0.14222,0.14367,,,0.0738721803,0.076592537,0.0751340438,0.141850674,0.1732749675,0.173866274,0.2396291397,0.2224657534,0.1589041096,0.3041135562,0.4,0.4,0.3,NA,NA
Congo (Kinshasa),NA,NA,NA,NA,NA,NA,0.04124,0.01718,0.0256,0.02889,0.0205,0.01256,0.04044,0.04177,0.04201,0.04269,0.04565,0.00969,0.00912,0.0019438904,0.0019385792,0.0019438904,,,,,,,,,,,,NA,NA
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Costa Rica,NA,NA,NA,NA,NA,NA,0.17022,0.23862,0.18212,0.24371,0.13224,0.07513,0.10978,0.10287,0.14296,0.065,0.06582,0.06791,0.00159,,7.4781420765E-05,0.0214673863,0.0760459616,0.0782104,0.0881768489,0.0771901644,0.1459360658,0.1271232877,0.1589041096,0.1374011288,0.1,,,NA,NA
Cote dIvoire (IvoryCoast),NA,NA,NA,NA,NA,NA,0.36646,0.36727,0.45932,0.6523,0.65132,0.59101,0.52731,0.60817,0.61105,0.63952,0.79085,1.43532,1.67241,1.6774074301,1.2265269727,2.3154331123,2.4376515288,2.5187408822,2.6442183006,2.1947022247,1.2216210904,1.207671233,3.6547945208,3.4928406247,0.7,0.4,0.5,NA,NA
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,10.43144,11.29207,11.99113,13.40496,11.62695,15.43705,12.59315,13.2003642082,14.9007992842,13.4954245918,14.2775267836,14.4214487781,14.6397228525,14.5783047507,17.5246823178,12.1279097266,12.2645487677,13.3630336658,11,9.6,8.9,NA,NA
Cuba,NA,NA,NA,NA,NA,NA,5.58799,5.90062,5.7148,6.03656,5.85183,5.1652,4.44395,3.711,3.20835,4.5111,4.327,3.56291,2.80047,3.0379256,5.1788728415,4.2201597096,3.1509964745,4.4222848055,2.9851841097,3.8460293153,2.910370959,2.7448542467,2.6319141097,1.5672691014,2,1.7,1.6,NA,NA
Cyprus,NA,NA,NA,NA,NA,NA,0.66791,0.6997,0.95205,0.84174,0.79523,0.94112,0.90758,0.87971,1.04203,0.87822,0.84459,1.04582,0.98329,1.1138875452,0.9836631366,1.0175331671,1.0793604986,0.9329171412,0.2807887433,,,,,,,,,NA,NA
Czech Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,3.7506849315,3.7150684932,4.2904109589,5.6092896175,5.3698630137,4.701369863,4.5780821918,4.8524590164,6.0383561644,5.1326513699,5.6589863014,6.674394918,7.1025156164,7.6503220548,7.386570137,7.9436777049,7.2185942466,7.6,7.1,7.5,6.8,NA
Denmark,3.409732309,3.438628346,3.727588711,4.132133222,4.56557377,4.194520548,5.1479452055,5.1452054795,4.7841530055,4.4520547945,4.5150684932,4.5726027397,4.0901639344,4.2273972603,4.6410958904,4.7068493151,5.1038251366,5.9150684932,4.3205479452,5.0520547945,5.6065573771,5.2739726027,5.1479452055,5.3095890411,5.0683060109,4.7645223288,5.2410958904,5.0821917808,3.5792349727,4.4493150685,4.8,4.2,5.1,3.5,NA
Djibouti,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Dominica,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Dominican Republic,NA,NA,NA,NA,NA,NA,0.80409,0.58043,0.68333,1.04702,0.75393,0.89637,0.84436,1.04388,1.16324,0.83839,1.29437,1.20709,1.27142,1.2871818521,1.2828171585,1.2320706192,1.2500184329,1.3764609753,1.1023555683,1.1689014247,1.104569589,0.794520548,0.7309589042,0.829605737,0.9,0.7,0.5,NA,NA
Ecuador,NA,NA,NA,NA,NA,NA,6.56462,2.30438,5.52896,4.67279,7.01467,8.61316,9.66225,11.98324,11.37447,10.26734,11.64283,9.64556,7.18532,8.8557829299,11.1402636667,6.7155522137,5.7365359288,6.1869749644,6.4306070055,8.3004939671,9.6572638904,5.1698394523,7.3442071237,8.1442981206,7.8,7,7.4,NA,NA
Egypt,NA,NA,NA,NA,NA,NA,16.31471,19.43186,24.24795,27.26932,27.90849,28.51078,30.69788,35.94832,38.30288,40.98062,50.02708,44.99352,44.65619,40.5658343616,40.0411347213,50.3010484,50.6974528438,56.0192302356,53.6332244426,56.2845277534,90.6126275397,58.1047775355,62.0144406862,56.4859109534,59,61,62,NA,NA
El Salvador,NA,NA,NA,NA,NA,NA,0.90927,0.8077,0.78393,0.74245,0.83311,0.88756,0.84652,0.81423,1.3002,0.59897,0.47086,0.4846,0.59731,0.5997793589,0.4698652842,0.511207189,0.4702829753,0.3751090466,0.4829220257,0.4734205863,0.5654042795,0.6356164384,0.4449315069,0.4359759781,0.4,0.4,0.2,NA,NA
